,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Age,90 Mins,Goals,Shots,Shots_on_targ,Expected_goals,Age_Group,Physical_Category
0,0,1,Max Aarons,ENG,DF,Bournemouth,24.0,12.1,0.0,1.0,0.0,0.0,17-25 (Younger),More Physical
1,1,2,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,21.0,4.3,0.0,1.0,1.0,0.3,17-25 (Younger),More Physical
2,2,3,Tyler Adams,USA,MF,Bournemouth,25.0,1.2,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
3,3,4,Tosin Adarabioyo,ENG,DF,Fulham,26.0,16.0,2.0,14.0,5.0,0.7,26-39 (Older),More Physical
4,4,5,Elijah Adebayo,ENG,FW,Luton Town,26.0,12.9,9.0,28.0,12.0,5.6,26-39 (Older),More Physical
5,5,6,Simon Adingra,CIV,FW,Brighton,22.0,18.8,6.0,36.0,15.0,3.3,17-25 (Younger),More Physical
6,6,7,Nayef Aguerd,MAR,DF,West Ham,28.0,19.6,1.0,14.0,3.0,1.5,26-39 (Older),Less Physical
7,7,8,Brandon Aguilera,CRC,FW,Nott'ham Forest,20.0,0.1,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
8,8,9,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,22.0,2.7,0.0,8.0,2.0,0.4,17-25 (Younger),More Physical
9,9,10,Anel Ahmedhodžić,BIH,DF,Sheffield Utd,25.0,23.4,1.0,16.0,4.0,2.6,17-25 (Younger),More Physical
10,10,11,Ola Aina,NGA,DF,Nott'ham Forest,27.0,13.8,1.0,7.0,1.0,0.2,26-39 (Older),Less Physical
11,11,12,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,22.0,21.2,2.0,20.0,6.0,3.1,17-25 (Younger),More Physical
12,12,13,Kristoffer Ajer,NOR,DF,Brentford,25.0,17.4,2.0,9.0,3.0,1.1,17-25 (Younger),More Physical
13,13,14,Manuel Akanji,SUI,"DF,MF",Manchester City,28.0,21.1,2.0,10.0,4.0,0.9,26-39 (Older),Less Physical
14,14,15,Nathan Aké,NED,DF,Manchester City,29.0,19.5,2.0,19.0,5.0,2.1,26-39 (Older),Less Physical
15,15,16,Thiago Alcántara,ESP,MF,Liverpool,32.0,0.1,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
16,16,17,Trent Alexander-Arnold,ENG,DF,Liverpool,25.0,18.0,2.0,30.0,4.0,1.8,17-25 (Younger),More Physical
17,17,18,Alisson,BRA,GK,Liverpool,31.0,21.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
18,18,19,Miguel Almirón,PAR,FW,Newcastle Utd,30.0,20.5,3.0,40.0,11.0,4.5,26-39 (Older),Less Physical
19,19,20,Edson Álvarez,MEX,MF,West Ham,26.0,22.9,1.0,17.0,3.0,1.3,26-39 (Older),More Physical
20,20,21,Julián Álvarez,ARG,"MF,FW",Manchester City,24.0,26.2,8.0,85.0,33.0,10.7,17-25 (Younger),More Physical
21,21,22,Zeki Amdouni,SUI,FW,Burnley,23.0,20.3,4.0,41.0,21.0,4.4,17-25 (Younger),More Physical
22,22,23,Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,27.0,7.2,0.0,2.0,0.0,0.1,26-39 (Older),Less Physical
23,23,24,Joachim Andersen,DEN,DF,Crystal Palace,27.0,31.0,2.0,19.0,8.0,1.3,26-39 (Older),Less Physical
24,24,25,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,21.0,6.5,0.0,8.0,2.0,0.8,17-25 (Younger),More Physical
26,26,26,Jaidon Anthony,ENG,FW,Bournemouth,24.0,1.7,0.0,2.0,1.0,0.1,17-25 (Younger),More Physical
27,27,27,Michail Antonio,JAM,FW,West Ham,34.0,13.6,4.0,21.0,10.0,3.8,26-39 (Older),Less Physical
28,28,28,Antony,BRA,FW,Manchester Utd,24.0,12.2,0.0,31.0,7.0,1.7,17-25 (Younger),More Physical
29,29,29,Oliver Arblaster,ENG,MF,Sheffield Utd,19.0,4.1,0.0,1.0,1.0,0.0,17-25 (Younger),More Physical
30,30,30,Cameron Archer,ENG,"FW,MF",Sheffield Utd,22.0,16.1,4.0,29.0,7.0,3.9,17-25 (Younger),More Physical
31,31,31,Cameron Archer,ENG,MF,Aston Villa,22.0,0.1,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
32,32,32,Alphonse Areola,FRA,GK,West Ham,31.0,26.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
33,33,33,Lorenz Assignon,TOG,DF,Burnley,23.0,8.2,0.0,2.0,0.0,0.1,17-25 (Younger),More Physical
34,34,34,Serge Aurier,CIV,"DF,MF",Nott'ham Forest,31.0,9.3,0.0,6.0,1.0,0.2,26-39 (Older),Less Physical
35,35,35,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,26.0,11.4,6.0,22.0,11.0,4.7,26-39 (Older),More Physical
36,36,36,Jordan Ayew,GHA,"FW,MF",Crystal Palace,32.0,26.0,4.0,45.0,17.0,3.8,26-39 (Older),Less Physical
37,37,37,Benoît Badiashile,FRA,DF,Chelsea,23.0,8.2,0.0,3.0,1.0,0.2,17-25 (Younger),More Physical
38,38,38,Leon Bailey,JAM,"MF,FW",Aston Villa,26.0,18.9,8.0,47.0,15.0,4.8,26-39 (Older),More Physical
39,39,39,George Baldock,GRE,DF,Sheffield Utd,31.0,10.8,0.0,1.0,0.0,0.0,26-39 (Older),Less Physical
40,40,40,Carlos Baleba,CMR,MF,Brighton,20.0,11.5,0.0,16.0,3.0,0.7,17-25 (Younger),More Physical
41,41,41,Fodé Ballo-Touré,SEN,"DF,MF",Fulham,27.0,0.6,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
42,42,42,Shandon Baptiste,GRN,MF,Brentford,26.0,2.5,1.0,2.0,2.0,0.9,26-39 (Older),More Physical
43,43,43,Valentín Barco,ARG,DF,Brighton,19.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
44,44,44,Ross Barkley,ENG,MF,Luton Town,30.0,24.8,4.0,61.0,16.0,3.8,26-39 (Older),Less Physical
45,45,45,Harvey Barnes,ENG,FW,Newcastle Utd,26.0,5.6,4.0,19.0,9.0,2.6,26-39 (Older),More Physical
46,46,46,Chris Basham,ENG,"DF,MF",Sheffield Utd,35.0,3.6,0.0,2.0,0.0,0.1,26-39 (Older),Less Physical
47,47,47,Calvin Bassey,NGA,DF,Fulham,24.0,19.6,1.0,5.0,1.0,0.3,17-25 (Younger),More Physical
48,48,48,Owen Beck,WAL,DF,Liverpool,21.0,0.1,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
49,49,49,Donny van de Beek,NED,DF,Manchester Utd,26.0,0.0,0.0,1.0,0.0,0.0,26-39 (Older),More Physical
50,50,50,Amari'i Bell,JAM,DF,Luton Town,29.0,19.1,0.0,2.0,2.0,0.3,26-39 (Older),Less Physical
52,52,51,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,25.0,9.0,2.0,14.0,5.0,1.4,17-25 (Younger),More Physical
53,53,52,Anis Ben Slimane,TUN,MF,Sheffield Utd,23.0,4.1,0.0,6.0,3.0,0.7,17-25 (Younger),More Physical
54,54,53,Saïd Benrahma,ALG,"FW,MF",West Ham,28.0,6.9,0.0,18.0,5.0,1.8,26-39 (Older),Less Physical
55,55,54,Rodrigo Bentancur,URU,MF,Tottenham,26.0,7.5,1.0,11.0,2.0,1.1,26-39 (Older),More Physical
56,56,55,Daniel Bentley,ENG,GK,Wolves,30.0,3.3,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
57,57,56,Jóhann Berg Guðmundsson,ISL,MF,Burnley,33.0,12.0,0.0,10.0,3.0,0.9,26-39 (Older),Less Physical
58,58,57,Sander Berge,NOR,MF,Burnley,26.0,27.4,1.0,22.0,3.0,1.8,26-39 (Older),More Physical
59,59,58,Luke Berry,ENG,"MF,DF",Luton Town,31.0,1.9,1.0,4.0,1.0,0.5,26-39 (Older),Less Physical
60,60,59,Beto,GNB,FW,Everton,26.0,9.2,3.0,37.0,10.0,5.5,26-39 (Older),More Physical
61,61,60,Jordan Beyer,GER,DF,Burnley,23.0,13.7,0.0,5.0,0.0,0.5,17-25 (Younger),More Physical
62,62,61,Philip Billing,DEN,MF,Bournemouth,27.0,14.9,2.0,29.0,8.0,2.4,26-39 (Older),Less Physical
63,63,62,Yves Bissouma,MLI,MF,Tottenham,27.0,19.5,0.0,23.0,5.0,1.4,26-39 (Older),Less Physical
64,64,63,Benicio Boaitey,ENG,"DF,FW",Brighton,20.0,0.2,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
65,65,64,Oscar Bobb,NOR,"FW,MF",Manchester City,20.0,3.1,1.0,4.0,1.0,1.4,17-25 (Younger),More Physical
66,66,65,Jayden Bogle,ENG,DF,Sheffield Utd,23.0,24.3,2.0,23.0,8.0,1.6,17-25 (Younger),More Physical
67,67,66,Willy Boly,CIV,DF,Nott'ham Forest,33.0,12.1,1.0,12.0,5.0,1.3,26-39 (Older),Less Physical
68,68,67,Sven Botman,NED,DF,Newcastle Utd,24.0,15.3,2.0,10.0,2.0,0.6,17-25 (Younger),More Physical
69,69,68,Jarrod Bowen,ENG,FW,West Ham,27.0,30.5,15.0,70.0,32.0,9.7,26-39 (Older),Less Physical
70,70,69,Conor Bradley,NIR,DF,Liverpool,20.0,7.6,1.0,12.0,4.0,0.9,17-25 (Younger),More Physical
71,71,70,Jarrad Branthwaite,ENG,DF,Everton,21.0,28.0,2.0,9.0,3.0,1.4,17-25 (Younger),More Physical
72,72,71,Ben Brereton,CHI,"FW,MF",Sheffield Utd,24.0,5.5,4.0,11.0,7.0,2.4,17-25 (Younger),More Physical
73,73,72,Rhian Brewster,ENG,"FW,MF",Sheffield Utd,24.0,3.4,0.0,6.0,3.0,0.3,17-25 (Younger),More Physical
74,74,73,Armando Broja,ALB,FW,Chelsea,22.0,5.0,1.0,13.0,2.0,2.4,17-25 (Younger),More Physical
75,75,74,Armando Broja,ALB,FW,Fulham,22.0,0.6,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
76,76,75,Andre Brooks,ENG,"MF,DF",Sheffield Utd,20.0,7.4,0.0,5.0,1.0,0.2,17-25 (Younger),More Physical
78,78,76,David Brooks,WAL,"FW,MF",Bournemouth,26.0,3.1,1.0,13.0,5.0,2.2,26-39 (Older),More Physical
79,79,77,Jacob Brown,SCO,"MF,FW",Luton Town,25.0,11.3,2.0,26.0,6.0,2.8,17-25 (Younger),More Physical
80,80,78,Josh Brownhill,ENG,MF,Burnley,28.0,23.3,3.0,25.0,9.0,1.6,26-39 (Older),Less Physical
81,81,79,Jacob Bruun Larsen,DEN,"MF,FW",Burnley,25.0,9.4,4.0,29.0,9.0,3.6,17-25 (Younger),More Physical
82,82,80,Hugo Bueno,ESP,"DF,MF",Wolves,21.0,5.9,0.0,4.0,0.0,0.2,17-25 (Younger),More Physical
83,83,81,Santiago Bueno,URU,DF,Wolves,25.0,5.5,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
84,84,82,Facundo Buonanotte,ARG,"FW,MF",Brighton,19.0,11.8,3.0,18.0,7.0,2.0,17-25 (Younger),More Physical
85,85,83,Reece Burke,ENG,DF,Luton Town,27.0,14.0,0.0,12.0,3.0,1.3,26-39 (Older),Less Physical
86,86,84,Dan Burn,ENG,DF,Newcastle Utd,31.0,23.3,2.0,17.0,5.0,2.5,26-39 (Older),Less Physical
87,87,85,Mason Burstow,ENG,FW,Chelsea,20.0,0.1,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
88,88,86,Moisés Caicedo,ECU,MF,Chelsea,22.0,24.1,0.0,8.0,1.0,0.3,17-25 (Younger),More Physical
89,89,87,Tom Cairney,SCO,MF,Fulham,33.0,15.4,1.0,15.0,6.0,1.0,26-39 (Older),Less Physical
90,90,88,Dominic Calvert-Lewin,ENG,FW,Everton,27.0,19.8,5.0,59.0,21.0,10.9,26-39 (Older),Less Physical
91,91,89,Thomas Cannon,IRL,FW,Everton,21.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
92,92,90,Diego Carlos,BRA,DF,Aston Villa,31.0,16.0,0.0,7.0,1.0,0.9,26-39 (Older),Less Physical
93,93,91,Cesare Casadei,ITA,"MF,FW",Chelsea,21.0,0.2,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
94,94,92,Casemiro,BRA,MF,Manchester Utd,32.0,15.0,1.0,28.0,6.0,2.7,26-39 (Older),Less Physical
95,95,93,Matty Cash,POL,DF,Aston Villa,26.0,21.1,2.0,31.0,13.0,4.1,26-39 (Older),More Physical
96,96,94,Timothy Castagne,BEL,DF,Fulham,28.0,24.3,0.0,12.0,3.0,1.4,26-39 (Older),Less Physical
97,97,95,Jonny Castro,ESP,MF,Wolves,30.0,0.1,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
98,98,96,Trevoh Chalobah,ENG,DF,Chelsea,24.0,3.4,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
99,99,97,Calum Chambers,ENG,"DF,MF",Aston Villa,29.0,0.8,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
100,100,98,Youssef Chermiti,POR,FW,Everton,19.0,0.9,0.0,4.0,1.0,0.5,17-25 (Younger),More Physical
101,101,99,Ben Chilwell,ENG,DF,Chelsea,27.0,8.3,0.0,11.0,3.0,1.2,26-39 (Older),Less Physical
102,102,100,Tawanda Chirewa,ENG,MF,Wolves,20.0,0.4,0.0,1.0,0.0,0.1,17-25 (Younger),More Physical
104,104,101,Leon Chiwome,ENG,FW,Wolves,18.0,1.9,0.0,2.0,0.0,0.1,17-25 (Younger),More Physical
105,105,102,Tahith Chong,NED,MF,Luton Town,24.0,16.3,4.0,27.0,7.0,2.5,17-25 (Younger),More Physical
106,106,103,Ryan Christie,SCO,MF,Bournemouth,29.0,26.3,0.0,33.0,12.0,1.6,26-39 (Older),Less Physical
107,107,104,Carney Chukwuemeka,ENG,"MF,FW",Chelsea,20.0,2.3,1.0,3.0,2.0,0.2,17-25 (Younger),More Physical
108,108,105,Bobby Clark,ENG,MF,Liverpool,19.0,1.0,0.0,2.0,0.0,0.1,17-25 (Younger),More Physical
109,109,106,Jordan Clark,ENG,MF,Luton Town,30.0,10.6,1.0,12.0,3.0,0.8,26-39 (Older),Less Physical
110,110,107,Nathaniel Clyne,ENG,"DF,MF",Crystal Palace,33.0,8.2,0.0,2.0,0.0,0.0,26-39 (Older),Less Physical
111,111,108,Séamus Coleman,IRL,DF,Everton,35.0,4.6,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
112,112,109,Nathan Collins,IRL,DF,Brentford,22.0,24.5,1.0,10.0,2.0,1.7,17-25 (Younger),More Physical
113,113,110,Levi Colwill,ENG,DF,Chelsea,21.0,20.0,1.0,11.0,3.0,1.3,17-25 (Younger),More Physical
114,114,111,Lewis Cook,ENG,MF,Bournemouth,27.0,24.0,0.0,10.0,3.0,0.3,26-39 (Older),Less Physical
115,115,112,Jack Cork,ENG,MF,Burnley,34.0,0.2,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
116,116,113,Maxwel Cornet,CIV,"MF,FW",West Ham,27.0,1.2,1.0,4.0,1.0,0.4,26-39 (Older),Less Physical
117,117,114,Vladimír Coufal,CZE,DF,West Ham,31.0,29.0,0.0,4.0,1.0,0.2,26-39 (Older),Less Physical
118,118,115,Philippe Coutinho,BRA,"MF,FW",Aston Villa,31.0,0.3,0.0,3.0,1.0,0.1,26-39 (Older),Less Physical
119,119,116,Aaron Cresswell,ENG,"DF,FW",West Ham,34.0,3.1,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
120,120,117,Marc Cucurella,ESP,DF,Chelsea,25.0,11.8,0.0,6.0,4.0,0.9,17-25 (Younger),More Physical
121,121,118,Josh Cullen,IRL,MF,Burnley,28.0,17.0,1.0,10.0,3.0,0.3,26-39 (Older),Less Physical
122,122,119,Matheus Cunha,BRA,"FW,MF",Wolves,24.0,22.4,9.0,60.0,30.0,8.2,17-25 (Younger),More Physical
123,123,120,Mahmoud Dahoud,GER,MF,Brighton,28.0,5.0,0.0,6.0,1.0,0.2,26-39 (Older),Less Physical
124,124,121,Ameen Al-Dakhil,BEL,DF,Burnley,22.0,11.7,1.0,8.0,3.0,1.3,17-25 (Younger),More Physical
125,125,122,Diogo Dalot,POR,DF,Manchester Utd,25.0,28.3,1.0,24.0,4.0,1.0,17-25 (Younger),More Physical
126,126,123,Mikkel Damsgaard,DEN,MF,Brentford,23.0,5.4,0.0,6.0,3.0,0.8,17-25 (Younger),More Physical
127,127,124,Danilo,BRA,MF,Nott'ham Forest,22.0,14.4,1.0,16.0,4.0,0.7,17-25 (Younger),More Physical
128,128,125,Arnaut Danjuma,NED,"MF,FW",Everton,27.0,6.6,1.0,25.0,9.0,2.6,26-39 (Older),Less Physical
130,130,126,Jayden Danns,ENG,FW,Liverpool,18.0,0.1,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
131,131,127,Josh Dasilva,ENG,"DF,FW",Brentford,25.0,0.3,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
132,132,128,David Datro Fofana,CIV,FW,Burnley,21.0,8.3,4.0,16.0,9.0,3.7,17-25 (Younger),More Physical
133,133,129,Ben Davies,WAL,DF,Tottenham,30.0,11.1,1.0,12.0,2.0,2.3,26-39 (Older),Less Physical
134,134,130,Tom Davies,ENG,MF,Sheffield Utd,25.0,2.5,0.0,4.0,1.0,0.4,17-25 (Younger),More Physical
135,135,131,Craig Dawson,ENG,DF,Wolves,33.0,24.5,1.0,16.0,5.0,1.5,26-39 (Older),Less Physical
136,136,132,Kevin De Bruyne,BEL,MF,Manchester City,32.0,7.5,3.0,21.0,6.0,1.1,26-39 (Older),Less Physical
137,137,133,Hannes Delcroix,BEL,DF,Burnley,25.0,6.5,0.0,4.0,2.0,0.4,17-25 (Younger),More Physical
138,138,134,Leander Dendoncker,BEL,MF,Aston Villa,28.0,1.3,1.0,2.0,1.0,0.7,26-39 (Older),Less Physical
139,139,135,Moussa Diaby,FRA,"FW,MF",Aston Villa,24.0,19.1,5.0,44.0,17.0,5.2,17-25 (Younger),More Physical
140,140,136,Amad Diallo,CIV,FW,Manchester Utd,21.0,0.5,0.0,1.0,1.0,0.1,17-25 (Younger),More Physical
141,141,137,Amadou Diallo,ENG,MF,Newcastle Utd,21.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
142,142,138,Rúben Dias,POR,DF,Manchester City,26.0,24.4,0.0,16.0,7.0,1.1,26-39 (Older),More Physical
143,143,139,Luis Díaz,COL,FW,Liverpool,27.0,23.4,8.0,80.0,26.0,10.3,26-39 (Older),Less Physical
144,144,140,Eric Dier,ENG,DF,Tottenham,30.0,2.2,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
145,145,141,Lucas Digne,FRA,DF,Aston Villa,30.0,20.8,1.0,17.0,4.0,0.9,26-39 (Older),Less Physical
146,146,142,Issa Diop,FRA,DF,Fulham,27.0,12.8,0.0,4.0,1.0,0.2,26-39 (Older),Less Physical
147,147,143,Axel Disasi,FRA,DF,Chelsea,26.0,27.6,2.0,15.0,4.0,1.5,26-39 (Older),More Physical
148,148,144,Ben Doak,SCO,FW,Liverpool,18.0,0.2,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
149,149,145,Lewis Dobbin,ENG,MF,Everton,21.0,2.3,1.0,5.0,2.0,0.3,17-25 (Younger),More Physical
150,150,146,Matt Doherty,IRL,"DF,MF",Wolves,32.0,8.6,1.0,7.0,2.0,0.7,26-39 (Older),Less Physical
151,151,147,Jeremy Doku,BEL,"FW,MF",Manchester City,21.0,14.5,2.0,39.0,12.0,1.6,17-25 (Younger),More Physical
152,152,148,Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,25.0,15.4,2.0,21.0,6.0,1.3,17-25 (Younger),More Physical
153,153,149,Jamie Donley,ENG,FW,Tottenham,19.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
154,154,150,Gabriel Dos Santos,BRA,DF,Arsenal,26.0,27.2,4.0,28.0,10.0,4.0,26-39 (Older),More Physical
156,156,151,Abdoulaye Doucouré,MLI,"FW,MF",Everton,31.0,22.9,6.0,40.0,18.0,6.7,26-39 (Older),Less Physical
157,157,152,Cheick Doucouré,MLI,MF,Crystal Palace,24.0,10.2,0.0,6.0,2.0,0.3,17-25 (Younger),More Physical
158,158,153,Alfie Doughty,ENG,DF,Luton Town,24.0,26.6,1.0,22.0,4.0,1.1,17-25 (Younger),More Physical
159,159,154,Tommy Doyle,ENG,MF,Wolves,22.0,10.8,0.0,11.0,3.0,0.4,17-25 (Younger),More Physical
160,160,155,Radu Drăgușin,ROU,DF,Tottenham,22.0,2.6,0.0,1.0,0.0,0.1,17-25 (Younger),More Physical
161,161,156,Martin Dúbravka,SVK,GK,Newcastle Utd,35.0,16.1,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
162,162,157,Paul Dummett,WAL,DF,Newcastle Utd,32.0,0.2,0.0,1.0,0.0,0.0,26-39 (Older),Less Physical
163,163,158,Lewis Dunk,ENG,DF,Brighton,32.0,26.4,3.0,31.0,11.0,3.0,26-39 (Older),Less Physical
164,164,159,Jhon Durán,COL,"FW,MF",Aston Villa,20.0,3.8,3.0,14.0,5.0,1.5,17-25 (Younger),More Physical
165,165,160,Ederson,BRA,GK,Manchester City,30.0,25.7,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
166,166,161,Odsonne Édouard,FRA,"FW,MF",Crystal Palace,26.0,16.1,7.0,49.0,18.0,6.2,26-39 (Older),More Physical
167,167,162,John Egan,IRL,DF,Sheffield Utd,31.0,5.4,0.0,3.0,1.0,0.2,26-39 (Older),Less Physical
168,168,163,Hjalmar Ekdal,SWE,DF,Burnley,25.0,3.6,0.0,2.0,1.0,0.1,17-25 (Younger),More Physical
169,169,164,Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,21.0,23.9,5.0,51.0,21.0,6.5,17-25 (Younger),More Physical
170,170,165,Harvey Elliott,ENG,"MF,FW",Liverpool,21.0,10.0,2.0,32.0,10.0,1.4,17-25 (Younger),More Physical
171,171,166,Mohamed Elneny,EGY,MF,Arsenal,31.0,0.3,0.0,2.0,1.0,0.1,26-39 (Older),Less Physical
172,172,167,Emerson,BRA,DF,Tottenham,25.0,10.7,1.0,5.0,3.0,0.2,17-25 (Younger),More Physical
173,173,168,Julio Enciso,PAR,"MF,FW",Brighton,20.0,2.6,0.0,16.0,6.0,0.7,17-25 (Younger),More Physical
174,174,169,Wataru Endo,JPN,MF,Liverpool,31.0,13.9,1.0,8.0,2.0,0.3,26-39 (Older),Less Physical
175,175,170,Christian Eriksen,DEN,MF,Manchester Utd,32.0,9.9,1.0,9.0,4.0,0.7,26-39 (Older),Less Physical
176,176,171,Maxime Estève,FRA,DF,Burnley,21.0,9.1,0.0,5.0,0.0,0.2,17-25 (Younger),More Physical
177,177,172,Pervis Estupiñán,ECU,DF,Brighton,26.0,13.7,2.0,11.0,6.0,1.0,26-39 (Older),More Physical
178,178,173,Jonny Evans,NIR,DF,Manchester Utd,36.0,12.3,0.0,1.0,0.0,0.1,26-39 (Older),Less Physical
179,179,174,Eberechi Eze,ENG,"MF,FW",Crystal Palace,25.0,17.3,6.0,57.0,22.0,6.2,17-25 (Younger),More Physical
180,180,175,Łukasz Fabiański,POL,GK,West Ham,38.0,6.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
182,182,176,Romain Faivre,FRA,"MF,DF",Bournemouth,25.0,0.2,0.0,1.0,0.0,0.1,17-25 (Younger),More Physical
183,183,177,Ansu Fati,ESP,"MF,FW",Brighton,21.0,5.5,2.0,23.0,10.0,3.3,17-25 (Younger),More Physical
184,184,178,Felipe,BRA,DF,Nott'ham Forest,34.0,4.2,0.0,3.0,0.0,0.1,26-39 (Older),Less Physical
185,185,179,Evan Ferguson,IRL,FW,Brighton,19.0,15.2,6.0,33.0,20.0,4.6,17-25 (Younger),More Physical
186,186,180,Bruno Fernandes,POR,"MF,FW",Manchester Utd,29.0,30.0,6.0,78.0,29.0,8.0,26-39 (Older),Less Physical
187,187,181,Enzo Fernández,ARG,MF,Chelsea,23.0,23.8,3.0,44.0,13.0,6.1,17-25 (Younger),More Physical
188,188,182,John Fleck,SCO,"MF,DF",Sheffield Utd,32.0,1.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
189,189,183,Mark Flekken,NED,GK,Brentford,30.0,30.5,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
190,190,184,Phil Foden,ENG,"FW,MF",Manchester City,23.0,27.2,14.0,90.0,38.0,9.0,17-25 (Younger),More Physical
191,191,185,Wes Foderingham,ENG,GK,Sheffield Utd,33.0,24.4,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
192,192,186,Pablo Fornals,ESP,"MF,FW",West Ham,28.0,4.7,0.0,7.0,3.0,0.3,26-39 (Older),Less Physical
193,193,187,Omari Forson,ENG,FW,Manchester Utd,19.0,0.7,0.0,1.0,0.0,0.0,17-25 (Younger),More Physical
194,194,188,Lyle Foster,RSA,"FW,MF",Burnley,23.0,15.3,4.0,23.0,10.0,2.6,17-25 (Younger),More Physical
